Date,Price,Open,High,Low,Vol.,Change %
07/01/2019,"9,100.4","9,452.5","11,732.1","8,102.2",,-3.72%
06/01/2019,"9,452.5","7,677.8","12,060.0","6,613.3",,23.11%
05/01/2019,"7,677.8","4,701.6","8,140.0","4,701.6",,63.30%
04/01/2019,"4,701.6","3,646.2","5,019.6","3,610.3",,28.95%
03/01/2019,"3,646.2","3,340.7","3,677.7","3,245.2",,9.14%
02/01/2019,"3,340.7","2,979.1","3,690.0","2,930.6",,12.15%
01/01/2019,"2,978.7","3,235.9","3,591.0","2,927.2",,-7.93%
12/01/2018,"3,235.4","3,514.9","3,769.9","2,775.0",,-7.96%
11/01/2018,"3,515.2","5,579.0","5,725.0","3,050.5",,-36.99%
10/01/2018,"5,579.0","5,687.0","5,845.0","5,277.8",,-1.90%
09/01/2018,"5,687.0","6,031.2","6,389.9","5,240.0",,-5.71%
08/01/2018,"6,031.2","6,600.6","6,630.0","5,167.0",,-8.63%
07/01/2018,"6,600.6","5,457.7","7,248.0","5,217.5",,20.89%
06/01/2018,"5,460.1","6,399.9","6,650.0","4,953.5",57.37K,-14.68%
05/01/2018,"6,399.9","7,640.9","8,311.4","6,066.7",,-16.24%
04/01/2018,"7,640.8","5,615.0","7,979.0","5,250.0",,36.08%
03/01/2018,"5,615.0","8,430.0","9,449.8","5,315.6",,-33.39%
02/01/2018,"8,430.0","8,137.4","9,580.0","4,700.0",,3.60%
01/01/2018,"8,137.2","11,994.5","14,380.0","7,506.1",49.70K,-32.15%
12/01/2017,"11,993.6","8,462.0","16,323.0","8,100.0",201.76K,41.73%
11/01/2017,"8,462.0","5,535.0","9,494.0","4,650.0",267.57K,52.88%
10/01/2017,"5,535.0","3,659.0","5,550.0","3,533.1",187.80K,51.27%
09/01/2017,"3,659.0","3,980.0","4,173.9","2,491.7",313.91K,-8.07%
08/01/2017,"3,980.0","2,469.8","3,999.5","2,221.6",326.30K,61.15%
07/01/2017,"2,469.8","2,142.9","2,490.0","1,610.0",405.89K,15.25%
06/01/2017,"2,142.9","2,048.0","2,618.0","1,925.7",488.00K,4.64%
05/01/2017,"2,048.0","1,224.0","2,406.2","1,215.0",624.27K,67.32%
04/01/2017,"1,224.0","1,007.0","1,224.6",995.3,228.80K,21.55%
03/01/2017,"1,007.0","1,117.9","1,227.4",815.8,454.05K,-9.92%
02/01/2017,"1,117.9",900.6,"1,147.2",848.0,219.53K,24.12%
01/01/2017,900.6,913.5,"1,089.0",716.3,307.59K,-1.40%
12/01/2016,913.5,700.3,940.0,699.3,185.16K,30.44%
11/01/2016,700.3,633.5,715.0,604.3,155.53K,10.55%
10/01/2016,633.5,545.7,650.0,544.0,119.84K,16.09%
09/01/2016,545.7,512.9,562.5,507.7,101.18K,6.39%
08/01/2016,512.9,554.9,589.3,430.0,149.74K,-7.58%
07/01/2016,554.9,607.4,634.0,553.8,146.26K,-8.64%
06/01/2016,607.4,477.5,696.3,469.2,344.38K,27.20%
05/01/2016,477.5,390.7,497.7,382.0,182.91K,22.22%
04/01/2016,390.7,367.4,417.2,364.3,142.97K,6.34%
03/01/2016,367.4,397.1,399.8,352.8,216.34K,-7.48%
02/01/2016,397.1,343.7,400.0,327.5,188.79K,15.53%
01/01/2016,343.7,396.3,426.0,324.5,198.89K,-13.26%
12/01/2015,396.3,356.8,425.0,326.5,222.18K,11.07%
11/01/2015,356.8,280.1,455.0,273.0,294.54K,27.39%
10/01/2015,280.1,211.0,301.1,209.0,160.59K,32.73%
09/01/2015,211.0,206.2,220.5,200.1,110.35K,2.32%
08/01/2015,206.2,259.1,263.3,175.0,165.84K,-20.41%
07/01/2015,259.1,237.4,281.2,227.5,119.78K,9.32%
06/01/2015,237.0,208.3,240.0,193.9,87.32K,13.78%
05/01/2015,208.3,210.3,218.0,201.6,63.46K,-0.95%
04/01/2015,210.3,228.4,236.6,198.8,70.03K,-7.94%
03/01/2015,228.4,220.9,281.6,214.8,91.52K,3.42%
02/01/2015,220.9,193.5,228.6,188.0,84.11K,14.16%
01/01/2015,193.5,265.0,275.0,148.2,134.40K,-26.99%
12/01/2014,265.0,300.7,307.8,250.2,45.27K,-11.87%
11/01/2014,300.7,270.1,354.4,255.1,56.70K,11.33%
10/01/2014,270.1,306.9,325.1,226.0,55.93K,-12.00%
09/01/2014,306.9,367.0,380.3,290.0,34.44K,-16.37%
08/01/2014,367.0,436.4,453.7,337.6,30.58K,-15.91%
07/01/2014,436.4,466.2,480.0,418.1,18.35K,-6.39%
06/01/2014,466.2,457.0,495.2,398.0,33.39K,2.02%
05/01/2014,457.0,324.6,457.0,305.0,24.72K,40.78%
04/01/2014,324.6,335.1,444.8,252.0,33.11K,-3.14%
03/01/2014,335.1,413.7,506.9,321.8,25.43K,-18.99%
02/01/2014,413.7,592.3,610.0,320.1,25.00K,-30.16%
01/01/2014,592.3,539.0,734.9,535.0,14.57K,9.89%
12/01/2013,539.0,845.3,846.0,243.0,17.02K,-36.23%
11/01/2013,845.3,149.8,872.9,148.6,5.50K,464.28%
10/01/2013,149.8,94.5,159.0,81.0,0.68K,58.52%
